"Year","Title","Budget","Worldwide","Release","Duration","MPAA.Rating","IMDB.Rating","Genre","Award","Nomination","MPAA.Category","Month","Profitability","CPI","Profitability.Adjusted","Worldwide.Adjusted","Budget.Adjusted"
"2019","Patriot Games",4.5e+07,178100000,"5/6/2019",117,"R",6.8,"Action",0,0,"X",6,133100000,255.7,197640360.046458,264460917.537747,66820557.4912892
"2019","Cutthroat Island",9.2e+07,18517322,"22/12/2019",124,"PG-13",5.7,"Action",0,0,"TV-MA",12,-73482678,255.7,-109114522.442509,27496395.0952381,136610917.537747
"2019","Superstar",1.4e+07,30628981,"8/10/2019",81,"PG-13",5.2,"Comedy",0,0,"TV-MA",10,16628981,255.7,24692395.1318235,45481013.0180023,20788617.8861789
"2019","Toy Story 2",9e+07,511358276,"19/11/2019",92,"G",7.9,"Animation",0,0,"PG",11,421358276,255.7,625675442.353078,759316557.335656,133641114.982578
"2019","Cool Runnings",1.4e+07,155008909,"1/10/2019",98,"PG",7,"Adventure",0,0,"PG",10,141008909,255.7,209384309.124855,230172927.011034,20788617.8861789
"2019","Die Hard",2.8e+07,139434346,"15/7/2019",132,"R",8.2,"Action",0,0,"X",7,111434346,255.7,165469002.74216,207046238.514518,41577235.7723577
"2019","The Thirteenth Floor",1.6e+07,11810854,"28/5/2019",100,"R",7,"Mystery",0,0,"X",5,-4189146,255.7,-6220468.24738676,17537952.1939605,23758420.4413473
"2019","Beverly Hills Cop II",2e+07,276665036,"20/5/2019",100,"R",6.5,"Action",0,0,"X",5,256665036,255.7,381122239.867596,410820265.41928,29698025.5516841
"2019","The Wicked Lady",8e+06,589308,"28/10/2019",98,"R",4.8,"Adventure",0,0,"X",10,-7410692,255.7,-11004146.018583,875064.202090592,11879210.2206736
"2019","Rudy",1.2e+07,22750363,"13/10/2019",114,"PG",7.5,"Biography",0,0,"PG",10,10750363,255.7,15963227.753194,33782043.0842044,17818815.3310105
"2019","1776",4e+06,0,"9/11/2019",141,"G",7.6,"Drama",0,0,"PG",11,-4e+06,255.7,-5939605.11033682,0,5939605.11033682
"2019","The Funeral",12500000,1412799,"1/11/2019",99,"R",6.6,"Crime",0,0,"X",11,-11087201,255.7,-16463398.9297329,2097867.04006969,18561265.9698026
"2019","Bowfinger",5.5e+07,98699769,"13/8/2019",97,"PG-13",6.5,"Comedy",0,0,"TV-MA",8,43699769,255.7,64889842.8182346,146559413.085366,81669570.2671313
"2019","Bulworth",3e+07,29203383,"15/5/2019",108,"R",6.8,"Comedy",0,0,"X",5,-796617,255.7,-1182897.6010453,43364140.7264808,44547038.3275261
"2019","Tango & Cash",5.5e+07,63408614,"22/12/2019",104,"R",6.4,"Action",0,0,"X",12,8408614,255.7,12485961.6713124,94155531.9384437,81669570.2671313
"2019","Stigmata",3.2e+07,89441732,"10/9/2019",103,"R",6.2,"Horror",0,0,"X",9,57441732,255.7,85295301.2334495,132812142.116144,47516840.8826945
"2019","The Verdict",1.6e+07,53977250,"8/12/2019",129,"R",7.7,"Drama",0,0,"X",12,37977250,255.7,56392467.0441347,80150887.485482,23758420.4413473
"2019","For Your Eyes Only",2.8e+07,195300000,"26/6/2019",127,"PG",6.7,"Action",0,0,"PG",6,167300000,255.7,248423983.739837,290001219.512195,41577235.7723577
"2019","Red River",3e+06,9012000,"26/8/2019",133,"Passed",7.8,"Drama",0,0,"PG",8,6012000,255.7,8927226.48083624,13381930.3135889,4454703.83275261
"2019","Never Say Never Again",3.6e+07,1.6e+08,"7/10/2019",134,"PG",6.1,"Action",0,0,"PG",10,1.24e+08,255.7,184127758.420441,237584204.413473,53456445.9930314
"2019","To Die For",2e+07,27688744,"27/9/2019",106,"R",6.8,"Comedy",0,0,"X",9,7688744,255.7,11417025.7886179,41115051.340302,29698025.5516841
"2019","Space Jam",8e+07,250180384,"15/11/2019",88,"PG",6.5,"Animation",0,0,"PG",11,170180384,255.7,252701069.621371,371493171.828107,118792102.206736
"2019","Idle Hands",1.5e+07,4024147,"30/4/2019",92,"R",6.2,"Comedy",0,0,"X",4,-10975853,255.7,-16298058.1422764,5975461.02148664,22273519.1637631
"2019","A Civil Action",6e+07,56709981,"25/12/2019",115,"PG-13",6.6,"Drama",0,0,"TV-MA",12,-3290019,255.7,-4885353.41637631,84208723.238676,89094076.6550523
"2019","Austin Powers: The Spy Who Shagged Me",3.5e+07,312383487,"10/6/2019",95,"PG-13",6.6,"Action",0,0,"TV-MA",6,277383487,255.7,411887094.227062,463858638.942509,51971544.7154472
"2019","WarGames",1.2e+07,74433837,"3/6/2019",114,"PG",7.1,"Action",0,0,"PG",6,62433837,255.7,92708084.325784,110526899.656794,17818815.3310105
"2019","The Hunchback of Notre Dame",1e+08,325500000,"21/6/2019",91,"G",7,"Animation",0,0,"PG",6,225500000,255.7,334845238.095238,483335365.853659,148490127.75842
"2019","Def Jam's How To Be a Player",1.2e+07,14010363,"6/8/2019",93,"R",5.3,"Comedy",0,0,"X",8,2010363,255.7,2985190.58710801,20804005.9181185,17818815.3310105
"2019","Wild Things",2e+07,55576210,"20/3/2019",108,"R",6.6,"Crime",0,0,"X",3,35576210,255.7,52827159.680604,82525185.232288,29698025.5516841
"2019","Under Siege 2: Dark Territory",6e+07,104324083,"14/7/2019",100,"R",5.5,"Action",0,0,"X",7,44324083,255.7,65816887.4744483,154910964.129501,89094076.6550523
"2019","Megaforce",1.8e+07,5675599,"25/6/2019",99,"PG",3.6,"Action",0,0,"PG",6,-12324401,255.7,-18300518.79036,8427704.20615563,26728222.9965157
"2019","The Saint",9e+07,169400000,"4/4/2019",116,"PG-13",6.2,"Action",0,0,"TV-MA",4,79400000,255.7,117901161.440186,251542276.422764,133641114.982578
"2019","Mouse Hunt",3.8e+07,61894591,"19/12/2019",98,"PG",6.5,"Comedy",0,0,"PG",12,23894591,255.7,35481108.703252,91907357.2514518,56426248.5481998
"2019","Poltergeist",10700000,121706019,"4/6/2019",114,"PG",7.3,"Horror",0,0,"PG",6,111006019,255.7,164832979.432636,180721423.102787,15888443.670151
